CSV generated online at simspecs.com
ID,Name,Max or Junction Temp(C)
1,daughter board-1/FPE Connector-1,78.99
2,daughter board-2/FPE Connector-1,67.44
3,Dual_10GE_PHY-1 (CTM),64.43
4,LIM_FPGA-1 (CTM),98.76
5,Power PC 4-8 Core P4080-1 (CTM),150.28
6,Dual_10-100-1000_PHY-1,88.91
7,RLDRAM_250MHz-1 (CTM),89.54
8,Power_supply_48V-12V-1,114.20
9,Power_supply_48V-48V-1,176.58
10,ATCA Module-1 (CTM),137.78
11,470uF-2_U_470uF-1,91.31
12,470uF-3_U_470uF-2,87.79
13,470uF-4_U_470uF-3,85.21
14,DDR3_SODIMM-2/DDR3_SODIMM_Board-2,70.59
15,DDR3_SODIMM-2/DDR3_SODIMM_SOCKET-1,70.14
16,DDR3_SODIMM-4/DDR3_SODIMM_Board-2,98.27
17,DDR3_SODIMM-4/DDR3_SODIMM_SOCKET-1,97.82
18,DDR3_SODIMM-5/DDR3_SODIMM_Board-2,98.33
19,DDR3_SODIMM-5/DDR3_SODIMM_SOCKET-1,97.77
20,DDR3_SODIMM-3/DDR3_SODIMM_Board-2,81.86
21,DDR3_SODIMM-3/DDR3_SODIMM_SOCKET-1,81.17
22,DDR3_SODIMM_FPGA-1/DDR3_SODIMM_Board-2,69.39
23,DDR3_SODIMM_FPGA-1/DDR3_SODIMM_SOCKET-1,69.16
24,DDR3_SODIMM-2/DDR3_SDRAM-43,70.59
25,DDR3_SODIMM-2/DDR3_SDRAM-27,70.28
26,DDR3_SODIMM-2/DDR3_SDRAM-25,70.44
27,DDR3_SODIMM-2/DDR3_SDRAM-32,69.18
28,DDR3_SODIMM-2/DDR3_SDRAM-45,68.60
29,DDR3_SODIMM-2/DDR3_SDRAM-48,68.65
30,DDR3_SODIMM-2/DDR3_SDRAM-29,69.29
31,DDR3_SODIMM-2/DDR3_SDRAM-41,70.40
32,DDR3_SODIMM-2/DDR3_SDRAM-34,70.07
33,DDR3_SODIMM-2/DDR3_SDRAM-33,70.23
34,DDR3_SODIMM-2/DDR3_SDRAM-17,69.94
35,DDR3_SODIMM-2/DDR3_SDRAM-18,69.79
